"stem","title","source_file","source_format","archive_master","game_asset","duration_seconds","target_lufs","true_peak_ceiling_dbtp","game_codec"
"PTX_01_MeterGlow_A","Meter Glow A","Neon Taxi Meter_2.mp3","Suno MP3","audio_masters/suno_batch_01/normalized_wav/PTX_01_MeterGlow_A_master.wav","assets/audio/music/game/PTX_01_MeterGlow_A.ogg","20.84","-16","-1.5","Vorbis q6 / 48 kHz stereo"
"PTX_01_MeterGlow_B","Meter Glow B","Neon Taxi Meter_3.mp3","Suno MP3","audio_masters/suno_batch_01/normalized_wav/PTX_01_MeterGlow_B_master.wav","assets/audio/music/game/PTX_01_MeterGlow_B.ogg","30","-16","-1.5","Vorbis q6 / 48 kHz stereo"
"PTX_02_DispatchAfterDark_A","Dispatch After Dark A","Neon Taxi Meter.mp3","Suno MP3","audio_masters/suno_batch_01/normalized_wav/PTX_02_DispatchAfterDark_A_master.wav","assets/audio/music/game/PTX_02_DispatchAfterDark_A.ogg","94.92","-16","-1.5","Vorbis q6 / 48 kHz stereo"
"PTX_02_DispatchAfterDark_B","Dispatch After Dark B","Neon Taxi Meter_1.mp3","Suno MP3","audio_masters/suno_batch_01/normalized_wav/PTX_02_DispatchAfterDark_B_master.wav","assets/audio/music/game/PTX_02_DispatchAfterDark_B.ogg","9.88","-16","-1.5","Vorbis q6 / 48 kHz stereo"
"PTX_03_FlagfallFever_A","Flagfall Fever A","Neon Taxi Match.mp3","Suno MP3","audio_masters/suno_batch_01/normalized_wav/PTX_03_FlagfallFever_A_master.wav","assets/audio/music/game/PTX_03_FlagfallFever_A.ogg","34.88","-16","-1.5","Vorbis q6 / 48 kHz stereo"
"PTX_03_FlagfallFever_B","Flagfall Fever B","Neon Taxi Match_1.mp3","Suno MP3","audio_masters/suno_batch_01/normalized_wav/PTX_03_FlagfallFever_B_master.wav","assets/audio/music/game/PTX_03_FlagfallFever_B.ogg","39.76","-16","-1.5","Vorbis q6 / 48 kHz stereo"
"PTX_04_RushHourRiot_A","Rush Hour Riot A","Midnight Taxi Meter.mp3","Suno MP3","audio_masters/suno_batch_01/normalized_wav/PTX_04_RushHourRiot_A_master.wav","assets/audio/music/game/PTX_04_RushHourRiot_A.ogg","147.88","-16","-1.5","Vorbis q6 / 48 kHz stereo"
"PTX_04_RushHourRiot_B","Rush Hour Riot B","Midnight Taxi Meter_1.mp3","Suno MP3","audio_masters/suno_batch_01/normalized_wav/PTX_04_RushHourRiot_B_master.wav","assets/audio/music/game/PTX_04_RushHourRiot_B.ogg","177.6","-16","-1.5","Vorbis q6 / 48 kHz stereo"
